PLAYERS STILL ON AN AUTO-ASSIGNED ROLE (192 total)
Format: Name [current role]  matches / runs / wickets  (decades)
A guess is likely WRONG if a bowler (high wkts) shows [MD], or a spinner shows [PC].

=== AUSTRALIA (37) ===
GN Yallop [MD]  39m / 2756r / 1w  (1970s,1980s)
WA Johnston [PC]  40m / 273r / 160w  (1940s,1950s)
GS Blewett [MD]  43m / 2483r / 12w  (1990s)
PJP Burge [MD]  42m / 2290r / 0w  (1950s,1960s)
MS Kasprowicz [PC]  38m / 445r / 113w  (1990s,2000s)
BC Booth [MD]  29m / 1773r / 3w  (1960s)
DS Lehmann [MD]  22m / 1570r / 13w  (2000s)
NJN Hawke [PC]  27m / 365r / 91w  (1960s)
GM Ritchie [MD]  30m / 1690r / 0w  (1980s)
SR Clark [PC]  24m / 248r / 94w  (2000s)
AP Sheahan [MD]  31m / 1594r / 0w  (1960s,1970s)
AC Voges [MD]  20m / 1485r / 0w  (2010s)
AN Connolly [PC]  24m / 163r / 81w  (1960s)
J Dyson [MD]  27m / 1258r / 0w  (1980s)
JHW Fingleton [MD]  18m / 1189r / 0w  (1930s)
R Edwards [MD]  20m / 1171r / 0w  (1970s)
RM Hogg [PC]  22m / 245r / 59w  (1980s)
BM Laird [MD]  18m / 1056r / 0w  (1980s)
GJ Cosier [MD]  18m / 897r / 5w  (1970s)
DW Hookes [MD]  16m / 870r / 1w  (1980s)
LS Pascoe [PC]  11m / 83r / 51w  (1980s)
GB Hole [MD]  18m / 789r / 3w  (1950s)
TW Wall [PC]  17m / 112r / 48w  (1930s)
AF Kippax [MD]  16m / 831r / 0w  (1930s)
ERH Toshack [PC]  12m / 73r / 47w  (1940s)
AG Chipperfield [MD]  14m / 552r / 5w  (1930s)
I Meckiff [PC]  12m / 127r / 33w  (1950s)
AMJ Hilditch [MD]  9m / 621r / 0w  (1980s)
EL McCormick [PC]  12m / 54r / 36w  (1930s)
LF Kline [PC]  10m / 40r / 29w  (1950s)
LS Darling [MD]  12m / 474r / 0w  (1930s)
LE Favell [MD]  12m / 417r / 0w  (1950s)
KE Rigg [MD]  8m / 401r / 0w  (1930s)
ID Craig [MD]  11m / 358r / 0w  (1950s)
DR Gilbert [MD]  9m / 57r / 16w  (1980s)
J Moroney [MD]  5m / 277r / 0w  (1950s)
DM Wellham [MD]  6m / 257r / 0w  (1980s)

=== ENGLAND (43) ===
AR Caddick [PC]  62m / 861r / 234w  (1990s,2000s)
GA Hick [MD]  54m / 3005r / 22w  (1990s)
DW Randall [MD]  47m / 2470r / 0w  (1970s,1980s)
ST Finn [PC]  36m / 279r / 125w  (2010s)
DE Malcolm [PC]  39m / 222r / 127w  (1990s)
GG Arnold [PC]  31m / 347r / 107w  (1970s)
PH Parfitt [MD]  34m / 1765r / 12w  (1960s)
MR Ramprakash [MD]  38m / 1701r / 4w  (1990s)
CJ Tavare [MD]  31m / 1755r / 0w  (1980s)
W Voce [PC]  24m / 289r / 97w  (1930s)
NA Foster [PC]  28m / 410r / 88w  (1980s)
RES Wyatt [MD]  33m / 1488r / 12w  (1930s)
MH Denness [MD]  27m / 1610r / 0w  (1970s)
E Paynter [MD]  20m / 1540r / 0w  (1930s)
GS Ballance [MD]  23m / 1498r / 0w  (2010s)
RJ Sidebottom [PC]  21m / 298r / 77w  (2000s)
FH Tyson [PC]  17m / 230r / 76w  (1950s)
M Hendrick [PC]  25m / 98r / 78w  (1970s)
K Higgs [PC]  15m / 185r / 71w  (1960s)
J Hardstaff jnr [MD]  16m / 1070r / 0w  (1930s)
WE Bowes [PC]  14m / 26r / 67w  (1930s)
CJ Barnett [MD]  16m / 1021r / 0w  (1930s)
JK Lever [PC]  15m / 229r / 51w  (1970s)
KS Duleepsinhji [MD]  11m / 982r / 0w  (1930s)
RA Woolmer [MD]  15m / 920r / 4w  (1970s)
DB Close [MD]  18m / 721r / 17w  (1950s,1960s)
K Farnes [PC]  15m / 58r / 60w  (1930s)
NG Cowans [PC]  19m / 175r / 51w  (1980s)
CWJ Athey [MD]  23m / 919r / 0w  (1980s)
DR Jardine [MD]  15m / 850r / 0w  (1930s)
PJ Sharpe [MD]  12m / 786r / 0w  (1960s)
DS Steele [MD]  8m / 673r / 2w  (1970s)
PJ Loader [PC]  13m / 76r / 39w  (1950s)
IAR Peebles [PC]  9m / 36r / 40w  (1930s)
